age,gender,occupation,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw,lifestyle_change
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
2,0,1,11,12,3.0,2,3,1.0,0.0,0.5,0.5,0.5,-0.5,100,1011,0,2,1
1,0,5,7,5,1.5,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1000,1000,0,2,1
5,0,7,12,12,1.5,1,1,1.0,1.0,-0.5,0.5,0.5,0.0,1101,1100,1,2,1
2,0,1,11,12,3.0,2,3,1.0,0.0,0.5,0.5,0.5,-0.5,100,1011,0,2,1
3,0,7,9,9,1.5,2,2,0.5,0.5,0.5,1.0,0.5,0.5,1100,1001,1,2,1
1,1,7,7,4,0.5,3,3,-0.5,0.5,0.5,0.5,0.5,0.5,1,1,0,0,1
1,1,5,9,5,1.5,2,4,-0.5,-0.5,1.0,1.0,0.5,0.5,100,1111,0,0,1
3,1,7,9,9,0.5,2,2,0.5,0.5,0.5,1.0,0.0,0.5,1100,1,1,2,1
4,1,7,9,9,1.5,1,1,1.0,0.5,1.0,1.0,0.5,0.5,1100,1101,1,2,1
4,1,7,9,9,0.5,3,3,0.5,0.0,0.5,0.5,0.5,0.5,1000,100,1,2,1
2,1,7,9,11,0.5,3,2,0.5,0.5,0.5,0.5,0.0,0.0,1111,110,0,0,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
2,1,7,9,5,1.5,2,3,0.5,0.5,0.5,0.5,0.5,0.5,1001,100,1,2,1
2,1,7,7,9,2.5,3,3,0.5,0.5,0.5,1.0,0.0,0.5,1100,1110,0,0,1
2,1,7,9,11,1.5,3,2,0.5,1.0,0.0,1.0,0.5,0.5,1010,1101,0,2,1
4,1,7,9,11,0.5,2,1,1.0,0.5,0.5,1.0,1.0,1.0,1100,1010,0,2,1
2,1,7,7,9,0.5,2,1,0.5,0.0,0.5,0.5,0.5,0.5,1100,1000,1,2,1
2,1,7,9,7,1.5,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1101,1100,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
5,0,7,5,11,0.5,1,1,0.5,0.5,1.0,1.0,1.0,0.0,100,100,1,0,1
2,1,7,7,9,2.5,3,3,0.5,0.5,0.5,1.0,0.0,0.5,1100,1110,0,0,1
5,1,7,7,7,1.5,3,4,0.5,0.0,0.5,1.0,0.5,0.5,1000,1100,0,1,1
3,1,7,5,4,0.5,3,2,-0.5,0.5,0.5,1.0,0.5,0.0,100,1101,0,0,1
4,1,7,7,7,0.5,2,3,1.0,0.0,0.0,0.5,0.5,0.0,1111,1011,1,2,1
4,1,7,5,5,0.5,2,2,0.5,-0.5,0.5,0.5,0.5,0.5,1100,101,1,2,1
5,0,7,7,7,2.5,5,4,-0.5,0.5,0.5,1.0,0.5,0.5,1001,1010,0,1,1
1,1,7,9,9,0.5,1,3,-0.5,-0.5,0.5,1.0,1.0,1.0,1100,1100,1,2,1
1,0,1,5,11,0.5,1,1,1.0,-1.0,1.0,1.0,1.0,1.0,1111,10,1,2,1
1,1,7,4,4,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,101,0,2,1
0,1,6,11,7,0.5,2,3,0.5,1.0,-0.5,0.5,0.5,0.5,1,100,1,2,1
1,1,5,5,7,1.5,1,5,0.5,-0.5,1.0,0.5,0.5,1.0,1010,1110,1,2,1
0,1,6,7,11,0.5,4,2,0.5,1.0,0.5,1.0,0.0,0.5,1000,1000,0,1,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
2,0,1,5,9,1.5,2,2,0.5,0.5,1.0,1.0,1.0,0.0,1110,101,1,2,1
2,1,7,7,9,1.5,1,1,0.5,0.5,1.0,1.0,0.0,0.5,100,101,0,0,1
4,0,7,9,9,2.5,2,2,0.0,0.0,0.5,0.5,0.5,0.5,1110,111,0,2,1
2,0,7,9,7,0.5,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1100,1000,1,2,1
4,0,7,7,7,0.5,1,3,0.5,0.5,0.5,0.5,0.5,0.5,1000,1000,1,2,1
6,1,0,9,5,1.5,4,3,-1.0,1.0,1.0,1.0,1.0,1.0,1110,1,0,1,1
